category,axis,value
0030b00001vUHkzAAG,"Operational Excellence","7.494"
0030b00001vUJBMAA4,"Business Value","1.35"
0030b00001vUJBMAA4,Community,"9.1"
0030b00001vUJBMAA4,Enablement,6
0030b00001vUJBMAA4,Foundations,"6.77"
0030b00001vUJBMAA4,Governance,"5.7"
0030b00001vUJBMAA4,"Operational Excellence","8.414"
0030b00001vUP9YAAW,"Business Value","8.2"
0030b00001vUP9YAAW,Community,"7.42"
0030b00001vUP9YAAW,Enablement,"7.1"
0030b00001vUP9YAAW,Foundations,"7.22"
0030b00001vUP9YAAW,Governance,"8.32"
0030b00001vUP9YAAW,"Operational Excellence","8.13"
0030b00001vURhcAAG,"Business Value","8.5"
0030b00001vURhcAAG,Community,"8.88"
0030b00001vURhcAAG,Enablement,"5.74"
0030b00001vURhcAAG,Foundations,"8.97"
0030b00001vURhcAAG,Governance,"9.41"
0030b00001vURhcAAG,"Operational Excellence","8.39"
0030b00001vUVbgAAG,"Business Value",8
0030b00001vUVbgAAG,Community,"7.9"
0030b00001vUVbgAAG,Enablement,"7.58"
0030b00001vUVbgAAG,Foundations,"8.24"
0030b00001vUVbgAAG,Governance,"7.23"
0030b00001vUVbgAAG,"Operational Excellence","8.312"
0030b00001vUWUq,"Business Value","1.95"
0030b00001vUWUq,Community,"2.4"
0030b00001vUWUq,Enablement,3
0030b00001vUWUq,Foundations,"4.78"
0030b00001vUWUq,Governance,"1.73"
0030b00001vUWUq,"Operational Excellence","7.48"
0030b00001vUYoOAAW,"Business Value","1.4"
0030b00001vUYoOAAW,Community,"5.5"
0030b00001vUYoOAAW,Enablement,"3.68"
0030b00001vUYoOAAW,Foundations,"2.42"
0030b00001vUYoOAAW,Governance,"3.295"
0030b00001vUYoOAAW,"Operational Excellence","4.338"
0030b00001vUaSlAAK,"Business Value","5.8"
0030b00001vUaSlAAK,Community,"3.5"
0030b00001vUaSlAAK,Enablement,"4.76"
0030b00001vUaSlAAK,Foundations,"6.55"
0030b00001vUaSlAAK,Governance,"7.345"
0030b00001vUaSlAAK,"Operational Excellence","6.882"
0030b00001vUaqAAAS,"Business Value","5.45"
0030b00001vUaqAAAS,Community,"5.1"
0030b00001vUaqAAAS,Enablement,"4.32"
0030b00001vUaqAAAS,Foundations,"5.25"
0030b00001vUaqAAAS,Governance,"5.83"
0030b00001vUaqAAAS,"Operational Excellence","4.792"
0030b00001vUeIRAA0,"Business Value","2.7"
0030b00001vUeIRAA0,Community,"5.94"
0030b00001vUeIRAA0,Enablement,"2.68"
0030b00001vUeIRAA0,Foundations,"3.26"
0030b00001vUeIRAA0,Governance,"2.8"
0030b00001vUeIRAA0,"Operational Excellence","4.57"
0030b00001vUeYrAAK,"Business Value","7.7"
0030b00001vUeYrAAK,Community,"7.66"
0030b00001vUeYrAAK,Enablement,"7.88"
0030b00001vUeYrAAK,Foundations,"8.66"
0030b00001vUeYrAAK,Governance,"7.09"
0030b00001vUeYrAAK,"Operational Excellence","7.688"
0030b00001vUfLyAAK,"Business Value","5.65"
0030b00001vUfLyAAK,Community,"4.2"
0030b00001vUfLyAAK,Enablement,"3.84"
0030b00001vUfLyAAK,Foundations,"5.58"
0030b00001vUfLyAAK,Governance,0
0030b00001vUfLyAAK,"Operational Excellence","5.036"
0030b00001vUgQiAAK,"Business Value","3.8"
0030b00001vUgQiAAK,Community,"2.42"
0030b00001vUgQiAAK,Enablement,"1.2"
0030b00001vUgQiAAK,Foundations,"5.12"
0030b00001vUgQiAAK,Governance,"1.41"
0030b00001vUgQiAAK,"Operational Excellence","3.224"
0030b00001vUi11AAC,"Business Value","5.1"
0030b00001vUi11AAC,Community,"6.6"
0030b00001vUi11AAC,Enablement,"4.08"
0030b00001vUi11AAC,Foundations,"6.23"
0030b00001vUi11AAC,Governance,"3.305"
0030b00001vUi11AAC,"Operational Excellence","3.494"
0030b00001vUmrXAAS,"Business Value",3
0030b00001vUmrXAAS,Community,"2.4"
0030b00001vUmrXAAS,Enablement,"0.12"
0030b00001vUmrXAAS,Foundations,"2.19"
0030b00001vUmrXAAS,Governance,"3.065"
0030b00001vUmrXAAS,"Operational Excellence","3.846"
0030b00001vUokvAAC,"Business Value","6.4"
0030b00001vUokvAAC,Community,"6.22"
0030b00001vUokvAAC,Enablement,"6.48"
0030b00001vUokvAAC,Foundations,"6.23"
0030b00001vUokvAAC,Governance,"6.87"
0030b00001vUokvAAC,"Operational Excellence","6.91"
0030b00001vUuc6AAC,Foundations,"3.6"
0030b00001vUvQxAAK,"Business Value",0
0030b00001vUvQxAAK,Community,0
0030b00001vUvQxAAK,Enablement,0
0030b00001vUvQxAAK,Foundations,"1.23"
0030b00001vUvQxAAK,Governance,0
0030b00001vUvQxAAK,"Operational Excellence",0
0030b00001vUxN1AAK,"Business Value","4.85"
0030b00001vUxN1AAK,Community,"9.5"
0030b00001vUxN1AAK,Enablement,"3.54"
0030b00001vUxN1AAK,Foundations,"5.42"
0030b00001vUxN1AAK,Governance,"4.48"
0030b00001vUxN1AAK,"Operational Excellence","4.198"
0030b00001vUxhvAAC,"Business Value","8.55"
0030b00001vUxhvAAC,Community,"8.46"
0030b00001vUxhvAAC,Enablement,"7.48"
0030b00001vUxhvAAC,Foundations,"8.23"
0030b00001vUxhvAAC,Governance,"7.45"
0030b00001vUxhvAAC,"Operational Excellence","8.184"
0030b00001vUypkAAC,"Business Value","7.3"
0030b00001vUypkAAC,Community,"7.96"
0030b00001vUypkAAC,Enablement,"3.84"
0030b00001vUypkAAC,Foundations,"7.99"
0030b00001vUypkAAC,Governance,"2.99"
0030b00001vUypkAAC,"Operational Excellence","4.776"
0030b00001vUzwxAAC,"Business Value","7.9"
0030b00001vUzwxAAC,Community,"7.7"
0030b00001vUzwxAAC,Enablement,"7.68"
0030b00001vUzwxAAC,Foundations,"4.95"
0030b00001vUzwxAAC,Governance,"7.68"
0030b00001vUzwxAAC,"Operational Excellence","7.688"
0030b00001vV64IAAS,"Business Value","7.85"
0030b00001vV64IAAS,Community,"2.66"
0030b00001vV64IAAS,Enablement,"2.56"
0030b00001vV64IAAS,Foundations,"4.45"
0030b00001vV64IAAS,Governance,"4.49"
0030b00001vV64IAAS,"Operational Excellence","5.908"
0030b00001vV67HAAS,"Business Value","7.25"
0030b00001vV67HAAS,Community,"7.6"
0030b00001vV67HAAS,Enablement,"8.2"
0030b00001vV67HAAS,Foundations,"7.12"
0030b00001vV67HAAS,Governance,"7.91"
0030b00001vV67HAAS,"Operational Excellence","7.674"
0030b00001va0pZAAQ,"Business Value","5.85"
0030b00001va0pZAAQ,Community,"7.14"
0030b00001va0pZAAQ,Enablement,"6.4"
0030b00001va0pZAAQ,Foundations,"5.32"
0030b00001va0pZAAQ,Governance,"7.295"
0030b00001va0pZAAQ,"Operational Excellence","7.662"
0030b00001va1tzAAA,"Business Value","5.3"
0030b00001va1tzAAA,Community,"8.34"
0030b00001va1tzAAA,Enablement,"6.38"
0030b00001va1tzAAA,Foundations,"4.34"
0030b00001va1tzAAA,Governance,"6.19"
0030b00001va1tzAAA,"Operational Excellence","7.246"
0030b00001va7flAAA,"Business Value",6
0030b00001va7flAAA,Community,"7.7"
0030b00001va7flAAA,Enablement,"6.48"
0030b00001va7flAAA,Foundations,"7.34"
0030b00001va7flAAA,Governance,"8.485"
0030b00001va7flAAA,"Operational Excellence","9.194"
0030b00001vaBiVAAU,"Business Value","9.7"
0030b00001vaBiVAAU,Community,"9.14"
0030b00001vaBiVAAU,Enablement,"9.32"
0030b00001vaBiVAAU,Foundations,10
0030b00001vaBiVAAU,Governance,"9.165"
0030b00001vaBiVAAU,"Operational Excellence","9.792"
0030b00001vaEEFAA2,"Business Value","8.45"
0030b00001vaEEFAA2,Community,"9.02"
0030b00001vaEEFAA2,Enablement,"6.34"
0030b00001vaEEFAA2,Foundations,"8.23"
0030b00001vaEEFAA2,Governance,"6.96"
0030b00001vaEEFAA2,"Operational Excellence","6.274"
0030b00001vaHL4AAM,"Business Value",9
0030b00001vaHL4AAM,Community,"8.56"
0030b00001vaHL4AAM,Enablement,"8.8"
0030b00001vaHL4AAM,Foundations,"8.89"
0030b00001vaHL4AAM,Governance,9
0030b00001vaHL4AAM,"Operational Excellence",9
0030b00001vaIPvAAM,"Business Value","4.2"
0030b00001vaIPvAAM,Community,"1.4"
0030b00001vaIPvAAM,Enablement,"2.52"
0030b00001vaIPvAAM,Foundations,"5.46"
0030b00001vaIPvAAM,Governance,"2.87"
0030b00001vaIPvAAM,"Operational Excellence","2.808"
0030b00001vhiGGAAY,"Business Value","5.25"
0030b00001vhiGGAAY,Community,"1.3"
0030b00001vhiGGAAY,Enablement,"1.4"
0030b00001vhiGGAAY,Foundations,"4.27"
0030b00001vhiGGAAY,Governance,"3.255"
0030b00001vhiGGAAY,"Operational Excellence","1.456"
0030b00001vhiMMAAY,"Business Value","8.2"
0030b00001vhiMMAAY,Community,"6.18"
